2018,Vital statistics of Japan,,,,,,,,,,,,,,,,,,,
 Volume 1 Divorces,Table 10.2 Trends in divorce rates (per 1，000 population) by each prefecture:Japan,,,,,,,,,,,,,,,,,,,
30 Wakayama,0.73,1.13,1.02,0.91,0.81,0.86,1,1.04,1.31,1.4,1.37,1.66,2.26,2.12,2.08,1.98,1.97,1.87,1.83,1.81
31 Tottori,0.88,1.22,1.16,0.94,0.79,0.76,0.77,0.98,0.96,1.21,1.1,1.32,1.95,1.98,1.95,1.8,1.74,1.66,1.6,1.64
32 Shimane,0.92,1.32,0.97,0.73,0.63,0.53,0.6,0.65,0.74,0.93,0.83,1.06,1.45,1.52,1.56,1.4,1.48,1.39,1.53,1.34
33 Okayama,0.7,1.01,1.02,0.9,0.79,0.77,0.85,1,1.09,1.3,1.13,1.47,2,1.92,1.88,1.68,1.73,1.71,1.72,1.64
34 Hiroshima,0.96,1.33,1.22,1.14,0.93,0.9,0.94,1.05,1.16,1.23,1.2,1.53,2,1.97,1.94,1.73,1.76,1.68,1.65,1.65
35 Yamaguchi,0.85,1.23,1.17,1.07,0.98,0.96,1.16,1.16,1.24,1.4,1.25,1.52,1.98,1.92,1.76,1.62,1.74,1.56,1.6,1.6
36 Tokushima,0.78,1,0.98,0.81,0.68,0.65,0.79,1.03,1.24,1.22,1.12,1.4,1.95,1.96,1.85,1.67,1.61,1.59,1.58,1.61
37 Kagawa,0.9,1.23,1.14,0.95,0.78,0.79,0.93,1.03,1.22,1.22,1.2,1.47,1.99,2.02,1.95,1.76,1.82,1.67,1.76,1.72
38 Ehime,0.95,1.2,1.25,1.01,0.85,0.9,1.02,1.21,1.37,1.47,1.29,1.52,2.08,2.08,1.97,1.73,1.74,1.64,1.71,1.66
39 Kochi,0.95,1.28,1.29,1.25,1.18,1.2,1.36,1.45,1.53,1.59,1.52,1.87,2.29,2.25,1.92,1.86,1.87,1.71,1.79,1.75
40 Fukuoka,0.7,1.23,1.25,1.12,0.99,1.04,1.22,1.33,1.58,1.88,1.61,1.85,2.42,2.31,2.18,1.98,1.99,1.93,1.9,1.91
41 Saga,0.72,1.12,1,0.83,0.71,0.74,0.79,0.9,0.99,1.24,1.13,1.39,1.87,2.04,1.82,1.59,1.63,1.67,1.57,1.57
42 Nagasaki,0.75,1.25,1.28,1.01,0.96,0.84,0.96,1.1,1.24,1.44,1.23,1.53,1.92,2.02,1.77,1.68,1.68,1.6,1.55,1.54
43 Kumamoto,0.73,1.02,1.01,0.75,0.72,0.71,0.84,0.86,1.04,1.38,1.18,1.56,2,2.03,2,1.74,1.85,1.65,1.63,1.71
44 Oita,0.83,1.08,1.02,0.88,0.74,0.71,0.95,1.02,1.29,1.43,1.28,1.6,1.93,1.98,1.95,1.72,1.78,1.74,1.7,1.71
45 Miyazaki,0.67,1.08,1.09,0.92,0.81,0.83,1.01,1.21,1.42,1.67,1.38,1.65,2.32,2.31,2.13,2.07,2.1,2.02,1.97,1.89
46 Kagoshima,0.68,1.17,0.93,0.81,0.72,0.68,0.77,0.95,1.17,1.41,1.22,1.46,1.95,2.05,1.96,1.82,1.88,1.77,1.71,1.71
47 Okinawa,1.36,　　　...,　　　...,　　　...,　　　...,　　　...,　　　...,1.29,1.85,2.2,1.9,2.22,2.74,2.71,2.58,2.53,2.53,2.59,2.44,2.53
